id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38903029,Condo in Québec · ★5.0 · 2 bedrooms · 3 beds · 2 baths,29949666,Joseph,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81219,-71.21263,Entire home/apt,175,31,16,2023-11-02,0.32,1,274,5,
38930907,Rental unit in Québec · ★4.64 · 1 bedroom · 2 beds · 1 bath,248671197,Sammy Gestion,,Saint-Sauveur,46.81278864973512,-71.2353792690798,Entire home/apt,99,1,255,2023-12-01,5.07,2,27,95,"308614, expires: 2024-01-31"
38976824,Rental unit in Québec · ★4.57 · 1 bedroom · 1 bed · 1 bath,297360167,Jennifer,,Montcalm,46.80412,-71.22535,Entire home/apt,60,32,23,2022-04-30,0.45,3,365,0,
39202382,Condo in Québec · ★4.94 · 3 bedrooms · 4 beds · 2 baths,300819574,Deluxe Appartements,,Saint-Roch,46.81657,-71.22168,Entire home/apt,312,2,205,2023-12-03,4.04,8,250,49,"300355, expires: 2024-06-30"
39310780,Home in Québec · ★5.0 · 4 bedrooms · 4 beds · 1.5 baths,301816102,Olivier,,Saint-Jean-Baptiste,46.81112,-71.21958,Entire home/apt,688,32,3,2020-02-24,0.06,1,89,0,
39332359,Home in Quebec City · ★4.62 · 7 bedrooms · 9 beds · 4 baths,140757306,Nathalie,,Quartier 5-4,46.87471,-71.17268,Entire home/apt,641,2,13,2023-11-25,0.26,1,162,2,"300408, expires: 2024-07-31"
39503835,Condo in Québec · ★5.0 · Studio · 1 bed · 1 bath,206157337,André,,Saint-Roch,46.81019,-71.22755,Entire home/apt,77,32,5,2023-08-19,0.17,26,272,3,
39622177,Rental unit in Québec · ★4.91 · Studio · 1 bed · 1 bath,264706875,Janice,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81054,-71.21124,Entire home/apt,40,32,55,2023-12-03,1.12,1,56,6,
39627424,Condo in Québec · ★4.92 · 2 bedrooms · 3 beds · 1 bath,109172513,Raphael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81474,-71.20382,Entire home/apt,350,2,52,2023-11-25,1.08,1,111,17,"309760, expires: 2024-04-30"
39654234,Rental unit in Québec · 2 bedrooms · 2 beds · 1 bath,146644921,Angéline,,Pointe-de-Sainte-Foy,46.76626,-71.32712,Entire home/apt,40,31,0,,,1,0,0,
39686013,Rental unit in Québec · Studio · 1 bed · 1 bath,156758317,Eric Et Nathalie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80163,-71.22048,Entire home/apt,50,90,2,2022-11-29,0.04,6,285,0,
39745690,Rental unit in Québec · ★4.92 · 1 bedroom · 1 bed · 1 bath,207974954,Olivier,,Saint-Jean-Baptiste,46.81012,-71.21773,Entire home/apt,100,2,25,2022-07-31,0.61,1,0,0,"304829, expires: 2024-06-30"
39774644,Rental unit in Québec · ★4.04 · 2 bedrooms · 3 beds · 1 bath,305746120,Sebastien,,Saint-Jean-Baptiste,46.80797,-71.2259,Entire home/apt,121,2,111,2023-11-26,2.26,1,0,39,"307619, expires: 2024-10-31"
39855830,Home in Québec · ★4.45 · 6 bedrooms · 7 beds · 2.5 baths,306477652,Claude,,Chutes-Montmorency,46.89766,-71.1747,Entire home/apt,1000,3,54,2023-09-01,1.12,1,0,6,"300560, expires: 2024-04-30"
39900711,Rental unit in Québec · ★4.55 · 3 bedrooms · 3 beds · 1 bath,306865574,Antonio,,Lairet,46.83371,-71.25088,Entire home/apt,94,31,20,2023-08-13,0.41,1,135,2,
40027059,Condo in Québec · 2 bedrooms · 2 beds · 1 bath,67722160,Audrey,,Vieux-Limoilou,46.82861,-71.22787,Entire home/apt,135,31,0,,,1,0,0,
40093488,Rental unit in Québec · ★4.68 · 2 bedrooms · 2 beds · 1 bath,98803178,Dongmei,,Lairet,46.83629,-71.23886,Entire home/apt,62,31,19,2023-11-04,0.38,6,135,3,
40095269,Condo in Québec · ★4.42 · 1 bedroom · 1 bed · 1 bath,98803178,Dongmei,,Lairet,46.83814,-71.23627,Entire home/apt,43,31,26,2023-12-01,0.53,6,154,4,
40138924,Condo in Québec · ★4.88 · 2 bedrooms · 2 beds · 1 bath,196939621,Jérémie,,Saint-Jean-Baptiste,46.80779,-71.22691,Entire home/apt,124,2,42,2023-11-05,0.85,2,0,4,"301318, expires: 2024-05-31"
40249831,Rental unit in Québec · ★4.85 · 2 bedrooms · 2 beds · 1 bath,21230590,Amélie,,Duberger-Les Saules,46.82665,-71.34324,Entire home/apt,91,2,40,2023-11-04,0.82,1,0,20,"307828, expires: 2024-11-30T18:39:29Z"
40256695,Rental unit in Québec · ★4.84 · 2 bedrooms · 3 beds · 1 bath,35775015,Dave Et Clara,,Saint-Roch,46.81623,-71.22552,Entire home/apt,195,2,30,2023-10-22,0.62,7,0,6,"314830, expires: 2024-08-06"
40299232,Condo in Québec · ★4.63 · 2 bedrooms · 4 beds · 1 bath,42690811,Chalets,,Saint-Roch,46.8123,-71.22797,Entire home/apt,146,2,161,2023-11-24,3.34,5,332,19,"310129, expires: 2024-10-25"
40302791,Rental unit in Québec · ★4.60 · 1 bedroom · 2 beds · 1 bath,311359806,David,,Saint-Jean-Baptiste,46.80802,-71.22124,Entire home/apt,50,31,102,2023-11-18,2.16,1,0,6,
40306068,Rental unit in Québec · ★4.80 · 2 bedrooms · 3 beds · 1 bath,226680248,Mathieu,,Saint-Sauveur,46.80828,-71.23359,Entire home/apt,220,4,15,2023-07-08,0.50,1,0,3,"304878, expires: 2024-05-31"
40322842,Rental unit in Québec · ★4.88 · 1 bedroom · 1 bed · 1 bath,227190171,Philippe,,Cité Universitaire,46.79387,-71.26873,Entire home/apt,45,31,24,2023-09-01,0.49,1,55,4,
40398067,Loft in Québec · ★4.72 · 1 bedroom · 1 bed · 1 bath,246684804,Thomas,,Saint-Roch,46.8147,-71.22659,Entire home/apt,81,1,87,2023-11-19,4.20,4,340,44,"304039, expires: 2024-02-28T19:52:25Z"
40512000,Rental unit in Québec · ★4.93 · 1 bedroom · 2 beds · 1 bath,312460384,Alys,,Vanier,46.81054,-71.25341,Entire home/apt,113,1,298,2023-12-09,6.17,1,0,66,"301750, expires: 2024-05-31"
40651815,Rental unit in Québec · ★4.50 · 4 bedrooms · 5 beds · 1 bath,315280136,Thomas,,Saint-Jean-Baptiste,46.80688,-71.22753,Entire home/apt,693,60,8,2020-03-01,0.17,1,263,0,
40734167,Condo in Québec · ★5.0 · 4 bedrooms · 5 beds · 2 baths,86899851,Caroline,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81617,-71.21239,Entire home/apt,874,2,81,2023-11-29,2.76,1,312,28,"302952, expires: 2024-10-31T12:27:49Z"
40781810,Rental unit in Québec · ★4.84 · 2 bedrooms · 3 beds · 1 bath,167759614,North,,Saint-Roch,46.81599,-71.21905,Entire home/apt,202,2,146,2023-12-03,8.30,3,146,89,"310723, expires: 2024-09-25"
40808246,Townhouse in Québec · ★4.86 · 1 bedroom · 1 bed · 1.5 shared baths,208518177,Melodie,,Vanier,46.8119,-71.25502,Private room,80,2,22,2023-10-01,1.15,1,326,9,"314578, expires: 2024-07-24T16:03:21Z"
41006252,Rental unit in Québec · ★4.56 · 2 bedrooms · 3 beds · 1 bath,28296252,Thomas,,Saint-Roch,46.81794,-71.21984,Entire home/apt,118,2,181,2023-11-17,6.33,1,0,68,"305807, expires: 2024-07-31"
41374779,Rental unit in Québec · ★5.0 · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Cité Universitaire,46.77869,-71.30672,Entire home/apt,113,31,5,2023-02-23,0.11,20,74,1,
41380506,Condo in Québec · ★4.89 · 3 bedrooms · 3 beds · 2 baths,4440301,Margherita,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81289,-71.204,Entire home/apt,484,1,165,2023-12-01,3.54,2,0,37,"300756, expires: 2024-06-30"
